name,size,duration,duration(s),speed,size_per_sec
Keccak512,256,2µs,0.000002,122.07MB/s,128000000
Keccak256Full,256,2µs,0.000002,122.07MB/s,128000000
Sha3_224,256,1.2µs,0.0000012,203.45MB/s,213333333.33333334
Sha3_256,256,1µs,0.000001,244.14MB/s,256000000
Sha3_384,256,1.6µs,0.0000016,152.59MB/s,160000000
Sha3_512,256,1.9µs,0.0000019,128.50MB/s,134736842.10526314
Sha224,256,800ns,0.0000008,305.18MB/s,320000000
Sha256,256,500ns,0.0000005,488.28MB/s,512000000
Sha384,256,2µs,0.000002,122.07MB/s,128000000
Sha512,256,1.4µs,0.0000014,174.39MB/s,182857142.85714287
Sha512_224,256,1.2µs,0.0000012,203.45MB/s,213333333.33333334
Sha512_256,256,1µs,0.000001,244.14MB/s,256000000
sm3,256,2.1µs,0.0000021,116.26MB/s,121904761.90476191
crc<u16>,256,900ns,0.0000009,271.27MB/s,284444444.4444444
crc<u32>,256,900ns,0.0000009,271.27MB/s,284444444.4444444
crc<u64>,256,1.5µs,0.0000015,162.76MB/s,170666666.66666666
crc16,256,1.4µs,0.0000014,174.39MB/s,182857142.85714287
crc32fast,256,300ns,0.0000003,813.80MB/s,853333333.3333334
crc64,256,4.4µs,0.0000044,55.49MB/s,58181818.18181818
sha256,256,900ns,0.0000009,271.27MB/s,284444444.4444444
twox_hash::XxHash32,256,200ns,0.0000002,1.19GB/s,1280000000
twox_hash::XxHash64,256,200ns,0.0000002,1.19GB/s,1280000000
